game_id,sequence,season,game_date,game_date_time,away,home,matchup,arena,city,state
0012200001,1,2022-23,2022-09-30,2022-09-30T06:00:00,WAS,GSW,GSW @ WAS,Saitama Super Arena,Tokyo,""
0012200002,2,2022-23,2022-09-30,2022-09-30T22:00:00,LAC,MRA,MRA @ LAC,Climate Pledge Arena,Seattle,WA
0012200003,1,2022-23,2022-10-01,2022-10-01T20:00:00,MIL,MEM,MEM @ MIL,Fiserv Forum,Milwaukee,WI
0012200004,1,2022-23,2022-10-02,2022-10-02T01:00:00,GSW,WAS,WAS @ GSW,Saitama Super Arena,Tokyo,""
0012200005,2,2022-23,2022-10-02,2022-10-02T13:00:00,BOS,CHA,CHA @ BOS,TD Garden,Boston,MA
0012200006,3,2022-23,2022-10-02,2022-10-02T18:00:00,TOR,UTA,UTA @ TOR,Rogers Place,Edmonton,AB
0012200007,4,2022-23,2022-10-02,2022-10-02T19:00:00,HOU,SAS,SAS @ HOU,Toyota Center,Houston,TX
0012200008,5,2022-23,2022-10-02,2022-10-02T22:00:00,PHX,ADL,ADL @ PHX,Footprint Center,Phoenix,AZ
0012200009,1,2022-23,2022-10-03,2022-10-03T19:30:00,BKN,PHI,PHI @ BKN,Barclays Center,Brooklyn,NY
0012200010,2,2022-23,2022-10-03,2022-10-03T20:00:00,MEM,ORL,ORL @ MEM,FedExForum,Memphis,TN
0012200011,3,2022-23,2022-10-03,2022-10-03T21:00:00,DEN,OKC,OKC @ DEN,Ball Arena,Denver,CO
0012200012,4,2022-23,2022-10-03,2022-10-03T22:30:00,LAL,SAC,SAC @ LAL,Crypto.com Arena,Los Angeles,CA
0012200013,5,2022-23,2022-10-03,2022-10-03T22:30:00,LAC,POR,POR @ LAC,Climate Pledge Arena,Seattle,WA
0012200014,1,2022-23,2022-10-04,2022-10-04T19:00:00,NYK,DET,DET @ NYK,Madison Square Garden,New York,NY
0012200015,2,2022-23,2022-10-04,2022-10-04T19:30:00,MIA,MIN,MIN @ MIA,FTX Arena,Miami,FL
