Date,Acronym_API,Spread,OU Line,Team,HomeAway,Opponent
2022-12-09,ATL,7,231.5,ATLANTA,1 ,BROOKLYN
2022-12-09,DET,10.5,227.5,DETROIT,1 ,MEMPHIS
2022-12-09,LAL,5,228,LA LAKERS,1 ,PHILADELPHIA
2022-12-09,MIL,-1,223.5,MILWAUKEE,1 ,DALLAS
2022-12-09,MIN,1.5,234.5,MINNESOTA,1 ,UTAH
2022-12-09,NYK,-3.5,224,NEW YORK,1 ,CHARLOTTE
2022-12-09,PHX,-1.5,227.5,PHOENIX,1 ,NEW ORLEANS
2022-12-09,SAC,3.5,218,SACRAMENTO,1 ,CLEVELAND
2022-12-09,TOR,-8,222.5,TORONTO,1 ,ORLANDO
2022-12-09,WAS,4,233,WASHINGTON,1 ,INDIANA
2022-12-09,BKN,-7,231.5,BROOKLYN,0 ,ATLANTA
2022-12-09,CHA,3.5,224,CHARLOTTE,0 ,NEW YORK
2022-12-09,CLE,-3.5,218,CLEVELAND,0 ,SACRAMENTO
2022-12-09,DAL,1,223.5,DALLAS,0 ,MILWAUKEE
2022-12-09,IND,-4,233,INDIANA,0 ,WASHINGTON
2022-12-09,MEM,-10.5,227.5,MEMPHIS,0 ,DETROIT
2022-12-09,NOP,1.5,227.5,NEW ORLEANS,0 ,PHOENIX
2022-12-09,ORL,8,222.5,ORLANDO,0 ,TORONTO
2022-12-09,PHI,-5,228,PHILADELPHIA,0 ,LA LAKERS
2022-12-09,UTA,-1.5,234.5,UTAH,0 ,MINNESOTA
2022-12-08,DEN,-1,227.5,DENVER,1 ,PORTLAND
2022-12-08,HOU,-2,230,HOUSTON,1 ,SAN ANTONIO
2022-12-08,LAC,7,212.5,LA CLIPPERS,1 ,MIAMI
2022-12-08,MIA,-7,212.5,MIAMI,0 ,LA CLIPPERS
2022-12-08,POR,1,227.5,PORTLAND,0 ,DENVER
2022-12-08,SAS,2,230,SAN ANTONIO,0 ,HOUSTON
2022-12-07,ATL,2,233,ATLANTA,1 ,NEW YORK
2022-12-07,BOS,1,231,BOSTON,1 ,PHOENIX
2022-12-07,CHA,10,223,CHARLOTTE,1 ,BROOKLYN
2022-12-07,DET,11,229,DETROIT,1 ,NEW ORLEANS
2022-12-07,GSW,7.5,232.5,GOLDEN STATE,1 ,UTAH
2022-12-07,IND,5,236.5,INDIANA,1 ,MINNESOTA
2022-12-07,LAC,-6.5,216.5,LA CLIPPERS,1 ,ORLANDO
2022-12-07,LAL,12,228.5,LA LAKERS,1 ,TORONTO
2022-12-07,OKC,8.5,233,OKLAHOMA CITY,1 ,MEMPHIS
2022-12-07,SAC,6.5,235.5,SACRAMENTO,1 ,MILWAUKEE
2022-12-07,WAS,5,227.5,WASHINGTON,1 ,CHICAGO
2022-12-07,BKN,-10,223,BROOKLYN,0 ,CHARLOTTE
2022-12-07,CHI,-5,227.5,CHICAGO,0 ,WASHINGTON
2022-12-07,MEM,-8.5,233,MEMPHIS,0 ,OKLAHOMA CITY
2022-12-07,MIL,-6.5,235.5,MILWAUKEE,0 ,SACRAMENTO
2022-12-07,MIN,-5,236.5,MINNESOTA,0 ,INDIANA
2022-12-07,NOP,-11,229,NEW ORLEANS,0 ,DETROIT
2022-12-07,NYK,-2,233,NEW YORK,0 ,ATLANTA
2022-12-07,ORL,6.5,216.5,ORLANDO,0 ,LA CLIPPERS
2022-12-07,PHX,-1,231,PHOENIX,0 ,BOSTON
2022-12-07,TOR,-12,228.5,TORONTO,0 ,LA LAKERS
2022-12-07,UTA,-7.5,232.5,UTAH,0 ,GOLDEN STATE
2022-12-06,DAL,5,222.5,DALLAS,1 ,DENVER
2022-12-06,DET,7,220,DETROIT,1 ,MIAMI
2022-12-06,LAL,6,224.5,LA LAKERS,1 ,CLEVELAND
2022-12-06,CLE,-6,224.5,CLEVELAND,0 ,LA LAKERS
2022-12-06,DEN,-5,222.5,DENVER,0 ,DALLAS
2022-12-06,MIA,-7,220,MIAMI,0 ,DETROIT
2022-12-05,BOS,1.5,228,BOSTON,1 ,TORONTO
2022-12-05,IND,11,237,INDIANA,1 ,GOLDEN STATE
2022-12-05,LAC,-6,218,LA CLIPPERS,1 ,CHARLOTTE
2022-12-05,MIA,-4.5,218.5,MIAMI,1 ,MEMPHIS
2022-12-05,MIL,-10,226.5,MILWAUKEE,1 ,ORLANDO
2022-12-05,OKC,6,237,OKLAHOMA CITY,1 ,ATLANTA
2022-12-05,PHI,-8,222,PHILADELPHIA,1 ,HOUSTON
2022-12-05,PHX,3,223.5,PHOENIX,1 ,DALLAS
2022-12-05,ATL,-6,237,ATLANTA,0 ,OKLAHOMA CITY
2022-12-05,CHA,6,218,CHARLOTTE,0 ,LA CLIPPERS
2022-12-05,DAL,-3,223.5,DALLAS,0 ,PHOENIX
2022-12-05,GSW,-11,237,GOLDEN STATE,0 ,INDIANA
2022-12-05,HOU,8,222,HOUSTON,0 ,PHILADELPHIA
2022-12-05,MEM,4.5,218.5,MEMPHIS,0 ,MIAMI
2022-12-05,ORL,10,226.5,ORLANDO,0 ,MILWAUKEE
2022-12-05,TOR,-1.5,228,TORONTO,0 ,BOSTON
2022-12-04,BOS,-2.5,230,BOSTON,1 ,BROOKLYN
2022-12-04,CHI,3,239.5,CHICAGO,1 ,SACRAMENTO
2022-12-04,CLE,-2.5,222.5,CLEVELAND,1 ,NEW YORK
2022-12-04,DEN,1.5,231,DENVER,1 ,NEW ORLEANS
2022-12-04,IND,2.5,232,INDIANA,1 ,PORTLAND
2022-12-04,LAL,1.5,233,LA LAKERS,1 ,WASHINGTON
2022-12-04,MEM,-6.5,228,MEMPHIS,1 ,DETROIT
2022-12-04,PHX,-10,231,PHOENIX,1 ,SAN ANTONIO
2022-12-04,BKN,2.5,230,BROOKLYN,0 ,BOSTON
2022-12-04,DET,6.5,228,DETROIT,0 ,MEMPHIS
2022-12-04,NOP,-1.5,231,NEW ORLEANS,0 ,DENVER
2022-12-04,NYK,2.5,222.5,NEW YORK,0 ,CLEVELAND
2022-12-04,POR,-2.5,232,PORTLAND,0 ,INDIANA
2022-12-04,SAC,-3,239.5,SACRAMENTO,0 ,CHICAGO
2022-12-04,SAS,10,231,SAN ANTONIO,0 ,PHOENIX
2022-12-04,WAS,-1.5,233,WASHINGTON,0 ,LA LAKERS
2022-12-03,DAL,-1.5,224.5,DALLAS,1 ,NEW YORK
2022-12-03,HOU,11,235,HOUSTON,1 ,GOLDEN STATE
2022-12-03,MIL,-2,219,MILWAUKEE,1 ,CHARLOTTE
2022-12-03,OKC,5,233,OKLAHOMA CITY,1 ,MINNESOTA
2022-12-03,ORL,11,220.5,ORLANDO,1 ,TORONTO
2022-12-03,POR,5,227,PORTLAND,1 ,UTAH
2022-12-03,SAC,-4,227.5,SACRAMENTO,1 ,LA CLIPPERS
2022-12-03,CHA,2,219,CHARLOTTE,0 ,MILWAUKEE
2022-12-03,GSW,-11,235,GOLDEN STATE,0 ,HOUSTON
2022-12-03,LAC,4,227.5,LA CLIPPERS,0 ,SACRAMENTO
2022-12-03,MIN,-5,233,MINNESOTA,0 ,OKLAHOMA CITY
2022-12-03,NYK,1.5,224.5,NEW YORK,0 ,DALLAS
2022-12-03,TOR,-11,220.5,TORONTO,0 ,ORLANDO
2022-12-03,UTA,-5,227,UTAH,0 ,PORTLAND
